seed,ROI_i,ROI_j,mean_abs_shap
0,ROI_29,ROI_19,0.2550156
0,ROI_42,ROI_59,0.23008655
0,ROI_1,ROI_61,0.14344779
0,ROI_4,ROI_9,0.13048922
0,ROI_59,ROI_20,0.12768798
0,ROI_11,ROI_20,0.11783813
0,ROI_1,ROI_13,0.11679851
0,ROI_5,ROI_45,0.11054213
0,ROI_26,ROI_54,0.10946785
0,ROI_1,ROI_31,0.10908155
0,ROI_1,ROI_20,0.10716308
0,ROI_43,ROI_2,0.1014879
0,ROI_47,ROI_20,0.0989817
0,ROI_16,ROI_34,0.09805544
0,ROI_16,ROI_49,0.09712254
0,ROI_9,ROI_4,0.09627362
0,ROI_5,ROI_20,0.092167996
0,ROI_10,ROI_51,0.08581332
0,ROI_8,ROI_33,0.08406456
0,ROI_33,ROI_57,0.082367085
0,ROI_19,ROI_20,0.077911645
0,ROI_1,ROI_10,0.076733954
0,ROI_29,ROI_42,0.069651544
0,ROI_34,ROI_11,0.06888823
0,ROI_4,ROI_18,0.06868649
0,ROI_29,ROI_55,0.06750789
0,ROI_29,ROI_39,0.067056276
0,ROI_51,ROI_10,0.06665436
0,ROI_34,ROI_16,0.064409435
0,ROI_33,ROI_37,0.06234552
0,ROI_26,ROI_49,0.0602244
0,ROI_1,ROI_38,0.060190517
0,ROI_52,ROI_26,0.056458753
0,ROI_5,ROI_12,0.05476339
0,ROI_24,ROI_20,0.053203695
0,ROI_20,ROI_19,0.050004162
0,ROI_7,ROI_18,0.049125962
0,ROI_54,ROI_54,0.048697338
0,ROI_42,ROI_7,0.04848191
0,ROI_51,ROI_3,0.048160333
0,ROI_14,ROI_46,0.04765182
0,ROI_52,ROI_17,0.044808645
0,ROI_11,ROI_10,0.043729126
0,ROI_45,ROI_48,0.043567024
0,ROI_15,ROI_47,0.019625697
0,ROI_43,ROI_16,0.0
0,ROI_42,ROI_18,0.0
0,ROI_43,ROI_31,0.0
0,ROI_42,ROI_20,0.0
0,ROI_42,ROI_21,0.0
0,ROI_43,ROI_30,0.0
0,ROI_43,ROI_29,0.0
0,ROI_42,ROI_22,0.0
0,ROI_43,ROI_28,0.0
0,ROI_43,ROI_27,0.0
0,ROI_42,ROI_23,0.0
0,ROI_42,ROI_24,0.0
0,ROI_42,ROI_25,0.0
0,ROI_42,ROI_26,0.0
0,ROI_43,ROI_26,0.0
0,ROI_42,ROI_27,0.0
0,ROI_42,ROI_28,0.0
0,ROI_42,ROI_29,0.0
0,ROI_42,ROI_30,0.0
0,ROI_42,ROI_31,0.0
0,ROI_42,ROI_32,0.0
0,ROI_42,ROI_33,0.0
0,ROI_42,ROI_19,0.0
0,ROI_43,ROI_32,0.0
0,ROI_42,ROI_35,0.0
0,ROI_42,ROI_17,0.0
0,ROI_43,ROI_39,0.0
0,ROI_42,ROI_2,0.0
0,ROI_42,ROI_3,0.0
0,ROI_42,ROI_4,0.0
0,ROI_42,ROI_5,0.0
0,ROI_42,ROI_6,0.0
0,ROI_43,ROI_38,0.0
0,ROI_42,ROI_8,0.0
0,ROI_43,ROI_37,0.0
0,ROI_42,ROI_9,0.0
0,ROI_43,ROI_36,0.0
0,ROI_43,ROI_35,0.0
0,ROI_42,ROI_10,0.0
0,ROI_43,ROI_34,0.0
0,ROI_42,ROI_11,0.0
0,ROI_42,ROI_12,0.0
0,ROI_43,ROI_33,0.0
0,ROI_42,ROI_13,0.0
0,ROI_42,ROI_14,0.0
0,ROI_42,ROI_15,0.0
0,ROI_42,ROI_16,0.0
0,ROI_42,ROI_34,0.0
0,ROI_42,ROI_37,0.0
0,ROI_42,ROI_36,0.0
0,ROI_42,ROI_56,0.0
0,ROI_42,ROI_58,0.0
0,ROI_43,ROI_20,0.0
0,ROI_42,ROI_60,0.0
0,ROI_42,ROI_61,0.0
0,ROI_43,ROI_19,0.0
0,ROI_42,ROI_62,0.0
0,ROI_43,ROI_1,0.0
0,ROI_43,ROI_18,0.0
0,ROI_43,ROI_3,0.0
0,ROI_43,ROI_4,0.0
0,ROI_43,ROI_5,0.0
0,ROI_43,ROI_6,0.0
0,ROI_43,ROI_7,0.0
0,ROI_43,ROI_8,0.0
0,ROI_43,ROI_9,0.0
0,ROI_43,ROI_10,0.0
0,ROI_43,ROI_11,0.0
0,ROI_43,ROI_12,0.0
0,ROI_43,ROI_13,0.0
0,ROI_43,ROI_17,0.0
0,ROI_43,ROI_14,0.0
0,ROI_42,ROI_57,0.0
0,ROI_42,ROI_55,0.0
0,ROI_43,ROI_15,0.0
0,ROI_42,ROI_54,0.0
0,ROI_43,ROI_25,0.0
0,ROI_42,ROI_38,0.0
0,ROI_43,ROI_24,0.0
0,ROI_42,ROI_39,0.0
0,ROI_42,ROI_40,0.0
0,ROI_42,ROI_41,0.0
0,ROI_43,ROI_23,0.0
0,ROI_42,ROI_42,0.0
0,ROI_42,ROI_43,0.0
0,ROI_43,ROI_22,0.0
0,ROI_42,ROI_44,0.0
0,ROI_42,ROI_45,0.0
0,ROI_42,ROI_46,0.0
0,ROI_42,ROI_47,0.0
0,ROI_42,ROI_48,0.0
0,ROI_43,ROI_21,0.0
0,ROI_42,ROI_49,0.0
0,ROI_42,ROI_50,0.0
0,ROI_42,ROI_51,0.0
0,ROI_42,ROI_52,0.0
0,ROI_42,ROI_53,0.0
0,ROI_42,ROI_1,0.0
0,ROI_1,ROI_1,0.0
0,ROI_41,ROI_62,0.0
0,ROI_41,ROI_1,0.0
0,ROI_40,ROI_35,0.0
0,ROI_40,ROI_36,0.0
0,ROI_40,ROI_37,0.0
0,ROI_40,ROI_38,0.0
0,ROI_40,ROI_39,0.0
0,ROI_40,ROI_40,0.0
0,ROI_40,ROI_41,0.0
0,ROI_40,ROI_42,0.0
0,ROI_40,ROI_43,0.0
0,ROI_40,ROI_44,0.0
0,ROI_40,ROI_45,0.0
0,ROI_40,ROI_46,0.0
0,ROI_40,ROI_47,0.0
0,ROI_40,ROI_48,0.0
0,ROI_40,ROI_49,0.0
0,ROI_40,ROI_50,0.0
0,ROI_40,ROI_51,0.0
0,ROI_40,ROI_52,0.0
0,ROI_40,ROI_53,0.0
0,ROI_40,ROI_54,0.0
0,ROI_40,ROI_55,0.0
0,ROI_40,ROI_56,0.0
0,ROI_40,ROI_57,0.0
0,ROI_40,ROI_58,0.0
0,ROI_40,ROI_59,0.0
0,ROI_40,ROI_60,0.0
0,ROI_40,ROI_61,0.0
0,ROI_40,ROI_34,0.0
0,ROI_40,ROI_33,0.0
0,ROI_40,ROI_32,0.0
0,ROI_40,ROI_17,0.0
0,ROI_40,ROI_5,0.0
0,ROI_40,ROI_6,0.0
0,ROI_40,ROI_7,0.0
0,ROI_40,ROI_8,0.0
0,ROI_40,ROI_9,0.0
0,ROI_40,ROI_10,0.0
0,ROI_40,ROI_11,0.0
0,ROI_40,ROI_12,0.0
0,ROI_40,ROI_13,0.0
0,ROI_40,ROI_14,0.0
0,ROI_40,ROI_15,0.0
0,ROI_40,ROI_16,0.0
0,ROI_40,ROI_18,0.0
0,ROI_40,ROI_31,0.0
0,ROI_40,ROI_19,0.0
0,ROI_40,ROI_20,0.0
0,ROI_40,ROI_21,0.0
0,ROI_40,ROI_22,0.0
0,ROI_40,ROI_23,0.0
0,ROI_40,ROI_24,0.0
0,ROI_40,ROI_25,0.0
0,ROI_40,ROI_26,0.0
0,ROI_40,ROI_27,0.0
0,ROI_40,ROI_28,0.0
0,ROI_40,ROI_29,0.0
0,ROI_40,ROI_30,0.0
0,ROI_40,ROI_62,0.0
0,ROI_41,ROI_2,0.0
0,ROI_41,ROI_61,0.0
0,ROI_41,ROI_3,0.0
0,ROI_41,ROI_34,0.0
0,ROI_41,ROI_35,0.0
0,ROI_41,ROI_36,0.0
0,ROI_41,ROI_37,0.0
0,ROI_41,ROI_38,0.0
0,ROI_41,ROI_39,0.0
0,ROI_41,ROI_40,0.0
0,ROI_41,ROI_41,0.0
0,ROI_41,ROI_42,0.0
0,ROI_41,ROI_43,0.0
0,ROI_41,ROI_44,0.0
0,ROI_41,ROI_45,0.0
0,ROI_41,ROI_46,0.0
0,ROI_41,ROI_47,0.0
0,ROI_41,ROI_48,0.0
0,ROI_41,ROI_49,0.0
0,ROI_41,ROI_50,0.0
0,ROI_41,ROI_51,0.0
0,ROI_43,ROI_40,0.0
0,ROI_41,ROI_53,0.0
0,ROI_41,ROI_54,0.0
0,ROI_41,ROI_55,0.0
0,ROI_41,ROI_56,0.0
0,ROI_41,ROI_57,0.0
0,ROI_41,ROI_58,0.0
0,ROI_41,ROI_59,0.0
0,ROI_41,ROI_60,0.0
0,ROI_41,ROI_33,0.0
0,ROI_41,ROI_32,0.0
0,ROI_41,ROI_31,0.0
0,ROI_41,ROI_16,0.0
0,ROI_41,ROI_4,0.0
0,ROI_41,ROI_5,0.0
0,ROI_41,ROI_6,0.0
0,ROI_41,ROI_7,0.0
