seed,ROI_i,ROI_j,mean_abs_shap
34,ROI_42,ROI_29,0.5005849
34,ROI_29,ROI_42,0.2788336
34,ROI_10,ROI_23,0.2379843
34,ROI_1,ROI_20,0.21973526
34,ROI_54,ROI_19,0.20382303
34,ROI_23,ROI_6,0.18760428
34,ROI_23,ROI_32,0.17853129
34,ROI_14,ROI_23,0.15347683
34,ROI_1,ROI_55,0.13744679
34,ROI_6,ROI_23,0.13037567
34,ROI_22,ROI_49,0.08357672
34,ROI_1,ROI_6,0.07198476
34,ROI_29,ROI_12,0.069031596
34,ROI_6,ROI_43,0.06666665
34,ROI_49,ROI_22,0.051352516
34,ROI_46,ROI_55,0.039802168
34,ROI_23,ROI_10,0.037381355
34,ROI_49,ROI_36,0.036269892
34,ROI_5,ROI_2,0.03524643
34,ROI_1,ROI_29,0.031281788
34,ROI_55,ROI_1,0.027310438
34,ROI_2,ROI_48,0.025231976
34,ROI_12,ROI_29,0.023925226
34,ROI_23,ROI_16,0.022751216
34,ROI_2,ROI_49,0.016069964
34,ROI_42,ROI_23,0.0
34,ROI_42,ROI_24,0.0
34,ROI_42,ROI_22,0.0
34,ROI_42,ROI_20,0.0
34,ROI_42,ROI_25,0.0
34,ROI_42,ROI_21,0.0
34,ROI_42,ROI_36,0.0
34,ROI_42,ROI_26,0.0
34,ROI_42,ROI_27,0.0
34,ROI_42,ROI_28,0.0
34,ROI_42,ROI_18,0.0
34,ROI_42,ROI_30,0.0
34,ROI_42,ROI_31,0.0
34,ROI_42,ROI_32,0.0
34,ROI_42,ROI_33,0.0
34,ROI_42,ROI_34,0.0
34,ROI_42,ROI_35,0.0
34,ROI_42,ROI_19,0.0
34,ROI_1,ROI_1,0.0
34,ROI_42,ROI_17,0.0
34,ROI_42,ROI_3,0.0
34,ROI_41,ROI_53,0.0
34,ROI_41,ROI_54,0.0
34,ROI_41,ROI_55,0.0
34,ROI_41,ROI_56,0.0
34,ROI_41,ROI_57,0.0
34,ROI_41,ROI_58,0.0
34,ROI_41,ROI_59,0.0
34,ROI_41,ROI_60,0.0
34,ROI_41,ROI_61,0.0
34,ROI_41,ROI_62,0.0
34,ROI_42,ROI_1,0.0
34,ROI_42,ROI_2,0.0
34,ROI_42,ROI_4,0.0
34,ROI_42,ROI_16,0.0
34,ROI_42,ROI_5,0.0
34,ROI_42,ROI_6,0.0
34,ROI_42,ROI_7,0.0
34,ROI_42,ROI_8,0.0
34,ROI_42,ROI_9,0.0
34,ROI_42,ROI_10,0.0
34,ROI_42,ROI_11,0.0
