seed,ROI_i,ROI_j,mean_abs_shap
0,ROI_29,ROI_19,0.24771471
0,ROI_42,ROI_59,0.23411395
0,ROI_4,ROI_9,0.14532101
0,ROI_1,ROI_61,0.14182281
0,ROI_59,ROI_20,0.12297489
0,ROI_43,ROI_2,0.118662864
0,ROI_1,ROI_20,0.115123905
0,ROI_5,ROI_45,0.11406548
0,ROI_1,ROI_13,0.11393922
0,ROI_11,ROI_20,0.112982206
0,ROI_16,ROI_49,0.11063349
0,ROI_1,ROI_31,0.10396673
0,ROI_26,ROI_54,0.10271409
0,ROI_9,ROI_4,0.1001239
0,ROI_16,ROI_34,0.098335706
0,ROI_8,ROI_33,0.09079988
0,ROI_47,ROI_20,0.08968374
0,ROI_19,ROI_20,0.08381286
0,ROI_33,ROI_57,0.08107076
0,ROI_10,ROI_51,0.08028055
0,ROI_5,ROI_20,0.080143616
0,ROI_1,ROI_10,0.07325334
0,ROI_29,ROI_55,0.070138596
0,ROI_29,ROI_42,0.069743894
0,ROI_51,ROI_10,0.06691477
0,ROI_29,ROI_39,0.06656836
0,ROI_34,ROI_11,0.066354185
0,ROI_34,ROI_16,0.06351137
0,ROI_4,ROI_18,0.06223851
0,ROI_33,ROI_37,0.06029957
0,ROI_26,ROI_49,0.0590925
0,ROI_1,ROI_38,0.058931917
0,ROI_52,ROI_26,0.056270313
0,ROI_5,ROI_12,0.055071145
0,ROI_24,ROI_20,0.052862428
0,ROI_20,ROI_19,0.05065748
0,ROI_54,ROI_54,0.04922402
0,ROI_51,ROI_3,0.04809655
0,ROI_7,ROI_18,0.047700368
0,ROI_14,ROI_46,0.0468392
0,ROI_42,ROI_7,0.04547511
0,ROI_52,ROI_17,0.045061108
0,ROI_45,ROI_48,0.043627594
0,ROI_11,ROI_10,0.042221367
0,ROI_15,ROI_47,0.0144046135
0,ROI_43,ROI_16,0.0
0,ROI_42,ROI_18,0.0
0,ROI_43,ROI_31,0.0
0,ROI_42,ROI_20,0.0
0,ROI_42,ROI_21,0.0
0,ROI_43,ROI_30,0.0
0,ROI_43,ROI_29,0.0
0,ROI_42,ROI_22,0.0
0,ROI_43,ROI_28,0.0
0,ROI_43,ROI_27,0.0
0,ROI_42,ROI_23,0.0
0,ROI_42,ROI_24,0.0
0,ROI_42,ROI_25,0.0
0,ROI_42,ROI_26,0.0
0,ROI_43,ROI_26,0.0
0,ROI_42,ROI_27,0.0
0,ROI_42,ROI_28,0.0
0,ROI_42,ROI_29,0.0
0,ROI_42,ROI_30,0.0
0,ROI_42,ROI_31,0.0
0,ROI_42,ROI_32,0.0
0,ROI_42,ROI_33,0.0
0,ROI_42,ROI_19,0.0
0,ROI_43,ROI_32,0.0
0,ROI_42,ROI_35,0.0
0,ROI_42,ROI_17,0.0
0,ROI_43,ROI_39,0.0
0,ROI_42,ROI_2,0.0
0,ROI_42,ROI_3,0.0
0,ROI_42,ROI_4,0.0
0,ROI_42,ROI_5,0.0
0,ROI_42,ROI_6,0.0
0,ROI_43,ROI_38,0.0
0,ROI_42,ROI_8,0.0
0,ROI_43,ROI_37,0.0
0,ROI_42,ROI_9,0.0
0,ROI_43,ROI_36,0.0
0,ROI_43,ROI_35,0.0
0,ROI_42,ROI_10,0.0
0,ROI_43,ROI_34,0.0
0,ROI_42,ROI_11,0.0
0,ROI_42,ROI_12,0.0
0,ROI_43,ROI_33,0.0
0,ROI_42,ROI_13,0.0
0,ROI_42,ROI_14,0.0
0,ROI_42,ROI_15,0.0
0,ROI_42,ROI_16,0.0
0,ROI_42,ROI_34,0.0
0,ROI_42,ROI_37,0.0
0,ROI_42,ROI_36,0.0
0,ROI_42,ROI_56,0.0
0,ROI_42,ROI_58,0.0
0,ROI_43,ROI_20,0.0
0,ROI_42,ROI_60,0.0
0,ROI_42,ROI_61,0.0
0,ROI_43,ROI_19,0.0
0,ROI_42,ROI_62,0.0
0,ROI_43,ROI_1,0.0
0,ROI_43,ROI_18,0.0
0,ROI_43,ROI_3,0.0
0,ROI_43,ROI_4,0.0
0,ROI_43,ROI_5,0.0
0,ROI_43,ROI_6,0.0
0,ROI_43,ROI_7,0.0
0,ROI_43,ROI_8,0.0
0,ROI_43,ROI_9,0.0
0,ROI_43,ROI_10,0.0
0,ROI_43,ROI_11,0.0
0,ROI_43,ROI_12,0.0
0,ROI_43,ROI_13,0.0
0,ROI_43,ROI_17,0.0
0,ROI_43,ROI_14,0.0
0,ROI_42,ROI_57,0.0
0,ROI_42,ROI_55,0.0
0,ROI_43,ROI_15,0.0
0,ROI_42,ROI_54,0.0
0,ROI_43,ROI_25,0.0
0,ROI_42,ROI_38,0.0
0,ROI_43,ROI_24,0.0
0,ROI_42,ROI_39,0.0
0,ROI_42,ROI_40,0.0
0,ROI_42,ROI_41,0.0
0,ROI_43,ROI_23,0.0
0,ROI_42,ROI_42,0.0
0,ROI_42,ROI_43,0.0
0,ROI_43,ROI_22,0.0
0,ROI_42,ROI_44,0.0
0,ROI_42,ROI_45,0.0
0,ROI_42,ROI_46,0.0
0,ROI_42,ROI_47,0.0
0,ROI_42,ROI_48,0.0
0,ROI_43,ROI_21,0.0
0,ROI_42,ROI_49,0.0
0,ROI_42,ROI_50,0.0
0,ROI_42,ROI_51,0.0
0,ROI_42,ROI_52,0.0
0,ROI_42,ROI_53,0.0
0,ROI_42,ROI_1,0.0
0,ROI_1,ROI_1,0.0
0,ROI_41,ROI_62,0.0
0,ROI_41,ROI_1,0.0
0,ROI_40,ROI_35,0.0
0,ROI_40,ROI_36,0.0
0,ROI_40,ROI_37,0.0
0,ROI_40,ROI_38,0.0
0,ROI_40,ROI_39,0.0
0,ROI_40,ROI_40,0.0
0,ROI_40,ROI_41,0.0
0,ROI_40,ROI_42,0.0
0,ROI_40,ROI_43,0.0
0,ROI_40,ROI_44,0.0
0,ROI_40,ROI_45,0.0
0,ROI_40,ROI_46,0.0
0,ROI_40,ROI_47,0.0
0,ROI_40,ROI_48,0.0
0,ROI_40,ROI_49,0.0
0,ROI_40,ROI_50,0.0
0,ROI_40,ROI_51,0.0
0,ROI_40,ROI_52,0.0
0,ROI_40,ROI_53,0.0
0,ROI_40,ROI_54,0.0
0,ROI_40,ROI_55,0.0
0,ROI_40,ROI_56,0.0
0,ROI_40,ROI_57,0.0
0,ROI_40,ROI_58,0.0
0,ROI_40,ROI_59,0.0
0,ROI_40,ROI_60,0.0
0,ROI_40,ROI_61,0.0
0,ROI_40,ROI_34,0.0
0,ROI_40,ROI_33,0.0
0,ROI_40,ROI_32,0.0
0,ROI_40,ROI_17,0.0
0,ROI_40,ROI_5,0.0
0,ROI_40,ROI_6,0.0
0,ROI_40,ROI_7,0.0
0,ROI_40,ROI_8,0.0
