seed,ROI_i,ROI_j,mean_abs_shap,median_shap,std_shap,iqr_shap
29,ROI_55,ROI_1,0.09043072,0.09043072,0.0,0.0
29,ROI_47,ROI_54,0.087915376,0.087915376,0.0,0.0
29,ROI_12,ROI_8,0.078000024,0.078000024,0.0,0.0
29,ROI_43,ROI_20,0.06626774,0.06626774,0.0,0.0
29,ROI_58,ROI_14,0.059813738,0.059813738,0.0,0.0
29,ROI_36,ROI_31,0.05526927,0.05526927,0.0,0.0
29,ROI_2,ROI_43,0.05347932,0.05347932,0.0,0.0
29,ROI_14,ROI_23,0.04366216,0.04366216,0.0,0.0
29,ROI_7,ROI_36,0.040947143,0.040947143,0.0,0.0
29,ROI_17,ROI_42,0.038971085,0.038971085,0.0,0.0
29,ROI_36,ROI_7,0.036885884,0.036885884,0.0,0.0
29,ROI_14,ROI_58,0.036581803,0.036581803,0.0,0.0
29,ROI_1,ROI_19,0.036292817,0.036292817,0.0,0.0
29,ROI_58,ROI_32,0.03574474,0.03574474,0.0,0.0
29,ROI_40,ROI_8,0.034721296,0.034721296,0.0,0.0
29,ROI_29,ROI_20,0.03262425,0.03262425,0.0,0.0
29,ROI_20,ROI_43,0.032253347,0.032253347,0.0,0.0
29,ROI_10,ROI_23,0.03215766,0.03215766,0.0,0.0
29,ROI_29,ROI_56,0.030955087,0.030955087,0.0,0.0
29,ROI_17,ROI_53,0.028651763,0.028651763,0.0,0.0
29,ROI_10,ROI_58,0.02847328,0.02847328,0.0,0.0
29,ROI_56,ROI_9,0.028010508,0.028010508,0.0,0.0
29,ROI_51,ROI_19,0.025600867,0.025600867,0.0,0.0
29,ROI_23,ROI_10,0.025255322,0.025255322,0.0,0.0
29,ROI_8,ROI_18,0.024380617,0.024380617,0.0,0.0
29,ROI_29,ROI_42,0.02408287,0.02408287,0.0,0.0
29,ROI_43,ROI_2,0.023424352,0.023424352,0.0,0.0
29,ROI_6,ROI_43,0.022728108,0.022728108,0.0,0.0
29,ROI_20,ROI_36,0.021893198,0.021893198,0.0,0.0
29,ROI_6,ROI_61,0.021400303,0.021400303,0.0,0.0
29,ROI_46,ROI_55,0.020555487,0.020555487,0.0,0.0
29,ROI_23,ROI_8,0.020478897,0.020478897,0.0,0.0
29,ROI_58,ROI_10,0.019907644,0.019907644,0.0,0.0
29,ROI_44,ROI_50,0.01962703,0.01962703,0.0,0.0
29,ROI_49,ROI_52,0.018868139,0.018868139,0.0,0.0
29,ROI_30,ROI_6,0.01883846,0.01883846,0.0,0.0
29,ROI_61,ROI_28,0.01863926,0.01863926,0.0,0.0
29,ROI_30,ROI_42,0.018522315,0.018522315,0.0,0.0
29,ROI_5,ROI_12,0.018342277,0.018342277,0.0,0.0
29,ROI_22,ROI_11,0.017864581,0.017864581,0.0,0.0
